"localidade","model_pred"
"engenho",387.463639973043
"rancho_norte",83.4064373249501
"vidal",69.5835112764801
"farol",54.0211388288937
"pedra_do_elefante",45.9357776133384
"costao_do_saco_dagua",39.4232259391785
"deserta_sul",25.4840767345413
"enseada_do_lili",19.9561871997926
"saco_do_batismo",10.1727790335554
"baia_das_tartarugas",8.07843780399064
"saquinho_dagua",3.72742071759938
"deserta_norte",1.86919996401195
"saco_do_capim",1.82077368815488
"letreiro",1.62395126806813
"tamboretes_sul",0.280802491162878
"estaleiro_2",0.193913208333458
"portinho_sul",0.160532160813469
"saco_dagua",0.128516029707046
"costa_do_elefante",0.0840170075569138
"ilha_porto_belo",0.0733417479240796
"irma_de_fora",0.0647652688531937
"tipitinga",0.0506599780648025
"portinho_norte",0.0491776766379892
"macuco",0.0449002580636583
"saco_da_mulata_norte",0.0406906915206764
"mata_fome",0.0299416995316984
"sepultura",0.0259509061901278
"estaleiro_1",0.0247475103854188
"campeche_norte",0.0238276165817661
"tamboretes_norte",0.0175052487543712
"moleques_do_sul",0.0171241653819614
"irma_do_meio",0.0145071810024211
"saco_da_mulata_sul",0.0136130362439747
"aranhas_leste",0.0117598202154819
"xavier",0.0100654164665734
"ilha_do_coral",0.00741919015449759
"ilha_dos_lobos",0.00723190561611846
"aranhas_oeste",0.00251247756847522
