localidade;data;visibilidade;faixa_bat;prof_interface_min;prof_interface_max;metodo;observador;tempo_geo;geo_cat;iar_geo;n_trans_vis;geo_id;obs
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;9;mp;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;10;mp;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;11;mp;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;12;mp;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;1;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;2;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;3;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;4;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;5;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;6;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;7;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;8;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;9;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;10;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;11;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;12;gc;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;1;rpm;6;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;2;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;3;rpm;8;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;4;rpm;8;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;5;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;6;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;7;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;8;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;9;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;10;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;11;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;12;rpm;10;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;1;lg;8;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;2;lg;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;3;lg;2;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;4;lg;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;5;lg;2;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;6;lg;2;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;7;lg;8;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;8;lg;2;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;9;lg;6;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;10;lg;2;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;11;lg;4;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Marcelo_Crivellaro/ Leticia_Voltolini;12;lg;0;12;64;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;1;tf;6;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;2;tf;6;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;3;tf;6;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;4;tf;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;5;tf;6;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;6;tf;4;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;7;tf;6;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;1;mp;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;2;mp;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;3;mp;0;7;65;conferir_palnilha de campo
