Local_1;Local_2;Local_3;Data;class_1;class_2;class_3;class_4;class_5;total
Entorno;Ilha do Arvoredo;Engenho;02/02/2021;185;62;34;4;1;286
Entorno;Ilha do Arvoredo;Baía do Farol;03/02/2021;1090;174;21;0;0;1285
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;30/04/2021;532;439;71;9;0;1051
REBio Arvoredo;Ilha do Arvoredo;Saco d'água;13/05/2021;692;96;6;1;0;795
REBio Arvoredo;Ilha da Galé;Naufrágio do Lili;20/05/2021;47;21;3;0;0;71
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;08/07/2021;238;89;38;0;0;365
Entorno;Ilha do Arvoredo;Saco do Capim;08/07/2021;38;2;0;0;0;40
Entorno;Ilha do Arvoredo;Saco do Batismo;08/07/2021;92;34;10;2;0;138
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;30/08/2021;124;121;60;16;1;322
Entorno;Ilha do Arvoredo;Engenho;30/09/2021;479;395;159;53;2;1088
Entorno;Ilha do Arvoredo;Saco do Vidal;27/10/2021;102;57;31;28;7;225
REBio Arvoredo;Ilha do Arvoredo;Saco d'água;12/11/2021;594;141;13;2;0;750
REBio Arvoredo;Ilha da Galé;Naufrágio do Lili;27/11/2021;12;3;1;0;0;16
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;03/12/2021;1081;556;165;4;0;1806
Entorno;Ilha do Arvoredo;Baía do Farol;20/01/2022;55;19;7;5;0;86
Entorno;Ilha do Arvoredo;Saco do Batismo;20/01/2022;0;0;1;0;0;1
REBio Arvoredo;Ilha da Deserta;Deserta Norte;22/02/2022;16;0;0;0;1;17
Entorno;Ilha do Arvoredo;Engenho;11/03/2022;145;85;34;20;5;289
Entorno;Ilha do Arvoredo;Engenho;06/04/2022;443;218;91;26;5;783
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;13/05/2022;66;127;66;28;6;293
REBio Arvoredo;Ilha do Arvoredo;Pedra do Elefante;24/06/2022;30;26;62;53;14;185
REBio Arvoredo;Ilha do Arvoredo;Pedra do Elefante;01/07/2022;72;33;15;2;122;244
REBio Arvoredo;Ilha do Arvoredo;Pedra do Elefante;20/07/2022;2;1;2;0;5;10
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;30/08/2022;1;6;13;5;1;26
REBio Arvoredo;Ilha do Arvoredo;Pedra do Elefante;18/11/2022;98;292;259;60;22;731
Entorno;Ilha do Arvoredo;Baía do Farol;24/01/2023;98;72;27;0;0;197
Entorno;Ilha do Arvoredo;Saco do Vidal;24/01/2023;98;73;28;1;2;202
REBio Arvoredo;Ilha Deserta;Deserta Sul;24/01/2023;31;32;43;21;4;131
REBio Arvoredo;Ilha Deserta;Deserta Sul;09/03/2023;192;119;83;28;3;425
